FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s					Y	Y	Y	Y	Y	Unique identifier for each file	DE.20190107.22495.fits	
OFNAME	OFNAME	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s					Y	Y		Y	Y	Original filename at the telescope, copied from DATAFILE keyword	d0107_0051.fits	
FILESIZE_MB	FILESIZE_MB	KOA	double	MB	FLOAT(126)	16	Y	Y	N		18.8f					Y			N		FITS file size in megabytes	44.8	
PROGID	PROGID	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s					Y	Y	Y	Y	Y	WMKO assigned program identification code	2019A_ENG	
PROGINST	PROGINST	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s					Y	Y	Y	Y	Y	Program institution	Keck	
PROGPI	PROGPI	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s					Y	Y	Y	Y	Y	Program principal investigator		
PROGTITL	PROGTITL	KOA	char		VARCHAR2(248 BYTE)	248	Y	Y	N		248s					Y	Y	Y	Y	Y	Program title		
KOAIMTYP	KOAIMTYP	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s				fcscal, polcal, bias, bias_lamp_on, dark, dark_lamp_on, trace, flatlamp, arclamp, object, object_lamp_on, undefined, focus	Y	Y	Y	Y	Y	Type of observation: 'object' for science files, other values are calibration files		
CAMERA	CAMERA	KOA	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y			Y		Will always be set to DEIMOS		
OBSMODE	OBSMODE	KOA	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s				longslit, mos, image, unknown	Y	Y	Y	Y	Y	Observation mode of this FITS file (longslit, mos, image, unknown)	longslit	
DATLEVEL	DATLEVEL	KOA	integer		NUMBER(*,0)	8	Y	Y	N		11d					Y			Y		Data reduction level (0 = raw)		
DETSEC01	DETSEC01	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 1 DETSEC)		
DETSEC02	DETSEC02	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 2 DETSEC)		
DETSEC03	DETSEC03	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 3 DETSEC)		
DETSEC04	DETSEC04	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 4 DETSEC)		
DETSEC05	DETSEC05	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 5 DETSEC)		
DETSEC06	DETSEC06	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 6 DETSEC)		
DETSEC07	DETSEC07	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 7 DETSEC)		
DETSEC08	DETSEC08	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 8 DETSEC)		
DETSEC09	DETSEC09	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 9 DETSEC)		
DETSEC10	DETSEC10	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 10 DETSEC)		
DETSEC11	DETSEC11	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 11 DETSEC)		
DETSEC12	DETSEC12	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 12 DETSEC)		
DETSEC13	DETSEC13	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 13 DETSEC)		
DETSEC14	DETSEC14	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 14 DETSEC)		
DETSEC15	DETSEC15	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 15 DETSEC)		
DETSEC16	DETSEC16	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Mosaic detector section (from HDU 16 DETSEC)		
DISPSCAL	DISPSCAL	KOA	double		FLOAT(126)	16	Y	Y	N		18.4f					Y			Y		CCD pixel scale, dispersion (arcsec/pixel when OBSMODE=imaging, otherwise A/pix)		
DQA_DATE	DQA_DATE	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Date of processing for archiving		
DQA_VERS	DQA_VERS	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y			Y		Version of KOA processing software		
