FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s					Y	Y	Y		Y	Unique identifier for each file	ES.20201203.77326.fits	
OFNAME	OFNAME	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s					Y	Y			Y	Original filename at the telescope	e201204_0078.fits	May have to add .fits to DATAFILE
FILESIZE_MB	FILESIZE_MB	KOA	double	MB	FLOAT(126)	16	Y	Y	N		18.8f					Y			N		FITS file size in megabytes	44.8	
PROGID	PROGID	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s					Y	Y			Y	WMKO assigned program identification code	ENG	
PROGINST	PROGINST	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s					Y	Y			Y	Program institution	KECK	
PROGPI	PROGPI	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s					Y	Y			Y	Program principal investigator	J. Doe	
PROGTITL	PROGTITL	KOA	char		VARCHAR2(210 BYTE)	210	Y	Y	N		210s					Y	Y			Y	Program title	ESI Engineering Night	added to metadata, not header
KOAIMTYP	KOAIMTYP	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s				arclamp,bias,dark,flatlamp,focus,object,trace,undefined	Y	Y	Y		Y	Type of observation: 'object' for science files, other values are calibration files	object, flatlamp	
CAMERA	CAMERA	KOA	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s				ESI	Y					Camera - ESI only has one		
DATLEVEL	DATLEVEL	KOA	integer		NUMBER(*,0)	8	Y	Y	N		11d					Y					Data reduction level		
OBSMODE	OBSMODE	KOA	char		VARCHAR2(8 BYTE)	8	Y	Y	N		8s				high,low,image	Y	Y			Y	Observing mode: low, high, or image	low, high, image	
DISPSCAL	DISPSCAL	KOA	double		FLOAT(126)	16	Y	Y	N		18.8f				0.1542	Y					CCD pixel scale, dispersion (arcsec/pixel)		
DQA_DATE	DQA_DATE	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Date of DQA run		
DQA_VERS	DQA_VERS	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					DQA version number		
FILTER	FILTER	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y	Y			Y	Copy of DWFILNAM: filter wheel named position	Clear_S	
GUIDFWHM	GUIDFWHM	KOA	double		FLOAT(126)	24	Y	Y	N		18.8f					Y					FWHM of guide star		
GUIDTIME	GUIDTIME	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					UT of GUIDFWHM value		
IMAGEMD	IMAGEMD	KOA	double		FLOAT(126)	16	Y	Y	N		18.8f					Y					Imaging median		
IMAGEMN	IMAGEMN	KOA	double		FLOAT(126)	16	Y	Y	N		18.8f					Y					Imaging mean		
IMAGESD	IMAGESD	KOA	double		FLOAT(126)	16	Y	Y	N		18.8f					Y					Imaging standard deviation		
NPIXSAT	NPIXSAT	KOA	integer		NUMBER(*,0)	16	Y	Y	N		11d					Y					Number of pixels above saturation		
OA	OA	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Observing assistant		
PROPINT	PROPINT	KOA	integer		NUMBER(*,0)	16	N	Y	Y		11d		0	9999		Y					Proprietary period		
SEMESTER	SEMESTER	KOA	char		VARCHAR2(8 BYTE)	8	N	Y	Y		8s					Y	Y				WMKO observing schedule semester		
SLITLEN	SLITLEN	KOA	double	arcsec	FLOAT(126)	16	Y	Y	N		18.8f				4,20,480	Y					Slit length projected on sky (arcsec)		
SLITWIDT	SLITWIDT	KOA	double	arcsec	FLOAT(126)	16	Y	Y	N		18.8f				0.3,0.5,0.75,1.0,1.13,1.25,6.0	Y					Slit width projected on sky (arcsec)		
