FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	KOA	char		VARCHAR2(48 BYTE)	48	N	Y	Y		48s	Y				Y	Y			Y	Unique identifier for each file OS.20210115.10883.fits		
PROPINT	PROPINT	KOA	integer	months	INTEGER	16	N	Y	Y		11d		0			Y	Y				data proprietary period time interval in months		
OFNAME	OFNAME	KOA	char		VARCHAR2(48 BYTE)	48	N	Y	Y		48s					Y	Y		Y		Original filename at the telescope, copied from DATAFILE keyword	v171005_0001	May have to add .fits to DATAFILE
KOAIMTYP	KOAIMTYP	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s				object, bias, dark, arclamp, flatlamp, solar, undefined	Y	Y			Y	KOA image type	object	
FILESIZE_MB	FILESIZE_MB	KOA	double	MB	FLOAT(126)	16	Y	Y	N		18.8f					Y			N		FITS file size in megabytes	44.8	
DATE-OBS	DATE_OBS	GUIDER	date		DATE	16	N	Y	Y	date	16s	Y				Y				Y	observing date (UT)		
AIRMASS	AIRMASS	GUIDER	double		FLOAT(126)	16	Y	Y	N		18.5f					Y					air mass (1.6659124968)	1.665912497	
AXESTAT	AXESTAT	GUIDER	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y					axes control status	TRACKING	
AZ	AZ	GUIDER	double	degrees	FLOAT(126)	16	Y	Y	N		18.5f					Y					telescope azimuth (-63.247046 deg)	-63.247046	
BINNING	BINNING	GUIDER	char		VARCHAR2(8 BYTE)	8	Y	Y	N		8s					Y						4	
BITPIX	BITPIX	GUIDER	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y						16	
BSCALE	BSCALE	GUIDER	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y						1	
BZERO	BZERO	GUIDER	double		FLOAT(126)	16	Y	Y	N		18.5f					Y						0	
