FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
ABFREQ	ABFREQ		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	antiblooming-frequency in Hz		
ACPOWER	ACPOWER		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	ac-power on		
AIRMASS	AIRMASS		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	air-mass		
AIRPRESS	AIRPRESS		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	air-pressure in mbar		
AMPLIST	AMPLIST		char		VARCHAR2(69 BYTE)	68	Y	Y	Y									1	1	readout-amplifiers		
AMPMODE	AMPMODE		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"SINGLE:A, SINGLE:B, DUAL:A+B"					1	1	Description of amplifiers used		
AMPPSIZE	AMPPSIZE		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	access in pixels (CCD)		
ANTIBLM	ANTIBLM		char		VARCHAR2(9 BYTE)	8	Y	N	N									1	0	antiblooming		
ARCFOCUS	ARCFOCUS		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	ThAr FWHM in pixel averaged over mosaic		
ARCRES	ARCRES		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	ThAr computed resolution		
AUTOSHUT	AUTOSHUT		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	automatic-shutter		
AZ	AZ		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	telescope-azimuth		
BCCVCLOS	BCCVCLOS		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	blue-collimator-cover-closed		
BCCVOPEN	BCCVOPEN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	blue-collimator-cover-open		
BINNING	BINNING		char		VARCHAR2(9 BYTE)	8	Y	Y	Y									1	1	binning		
BITPIX	BITPIX		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	number of bits per data pixel		
BSCALE	BSCALE		double		FLOAT(126)	16	Y	Y	Y	18.8f		100000						1	0	default scaling factor		
BZERO	BZERO		double		FLOAT(126)	16	Y	Y	Y	18.8f		100000						1	0	offset data		
C1CVCLOS	C1CVCLOS		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	corrector1-cover-closed		
C1CVOPEN	C1CVOPEN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	corrector1-cover-open		
C2CVCLOS	C2CVCLOS		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	corrector2-cover-closed		
C2CVOPEN	C2CVOPEN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	corrector2-cover-open		
CACVCLOS	CACVCLOS		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	camera-cover-closed		
CACVOPEN	CACVOPEN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	camera-cover-open		
CAFCAL	CAFCAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	camera-focus-calibration		
CAFCON	CAFCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	camera-focus-control		
CAFNAME	CAFNAME		char		VARCHAR2(17 BYTE)	16	Y	N	N									1	0	camera-focus-name		
CAFOCUS	CAFOCUS		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	camera-focus-location in um		
CAFRAW	CAFRAW		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	camera-focus-raw-position		
CAMCON	CAMCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	camera-cover-control		
CATCUR1	CATCUR1		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	cathode1-current		
CATCUR2	CATCUR2		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	cathode2-current		
CATON	CATON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	cathode-power-control		
CCDGAIN	CCDGAIN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"low, high, T, F"					1	1	CCD gain used		
CCDGN01	CCDGN01		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 01 gain (e-/DN)		
CCDGN02	CCDGN02		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 02 gain (e-/DN)		
CCDGN03	CCDGN03		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 03 gain (e-/DN)		
CCDGN04	CCDGN04		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 04 gain (e-/DN)		
CCDGN05	CCDGN05		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 05 gain (e-/DN)		
CCDGN06	CCDGN06		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 06 gain (e-/DN)		
CCDPSIZE	CCDPSIZE		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	logical unbinned size of the CCD in IRAF section notation		
CCDRN01	CCDRN01		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 01 readout noise (e-)		
CCDRN02	CCDRN02		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 02 readout noise (e-)		
CCDRN03	CCDRN03		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 03 readout noise (e-)		
CCDRN04	CCDRN04		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 04 readout noise (e-)		
CCDRN05	CCDRN05		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 05 readout noise (e-)		
CCDRN06	CCDRN06		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	CCD video input - 06 readout noise (e-)		
CCDSPEED	CCDSPEED		char		VARCHAR2(9 BYTE)	8	Y	N	N									1	1	CCD readout speed		
