FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s					Y	Y		Y	Y	Unique identifier for each file	LR.20150424.44113.fits	
FILESIZE_MB	FILESIZE_MB	KOA	double	MB	FLOAT(126)	16	Y	Y	N		18.8f					Y			N		FITS file size in megabytes	44.8	
PROPINT	PROPINT	KOA	integer		NUMBER(*,0)	16	N	Y	Y		16d		0			Y	Y		Y		Proprietary period		
INSTRUME	INSTRUME	DCS	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s				LRIS,LRISBLUE,LRISpBLUE	Y	Y		Y	Y	Instrument name	LRIS	
DATE-OBS	DATE_OBS	DCS	char		DATE	16	N	Y	Y	date	32s	Y				Y	Y		Y	Y	observing date		
DEC	CDEC	DCS	char		VARCHAR2(16 BYTE)	16	Y	Y	N	angle	16s	Y				Y	Y		Y		declination		
RA	CRA	DCS	char		VARCHAR2(16 BYTE)	16	Y	Y	N	angle	16s	Y				Y	Y		Y		right ascension		
EQUINOX	EQUINOX	DCS	double		FLOAT(126)	16	Y	Y	N		18.5f		1855	2100		Y			Y		Telescope equinox	2000	
UT	UT	LRIS	char		VARCHAR2(24 BYTE)	24	N	Y	Y	time	24s					Y	Y		Y	Y	Universal time	15:13.4	
UTC	UTC	LRIS	char		VARCHAR2(24 BYTE)	24	N	Y	Y	time	24s					Y			Y		Universal time	15:13.4	
KOAIMTYP	KOAIMTYP	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s				undefined,focus,bias,flatlamp,polcal,object,arclamp,dark	Y	Y		Y	Y	KOA image type	object	
PROGID	PROGID	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s					Y	Y		Y	Y	WMKO program ID	H275LA	
PROGINST	PROGINST	KOA	char		VARCHAR2(16 BYTE)	16	N	Y	N		16s					Y	Y		Y	Y	Program institution	UH	
PROGPI	PROGPI	KOA	char		VARCHAR2(70 BYTE)	70	N	Y	N		70s					Y	Y		Y	Y	Program PI	McConnell	
PROGTITL	PROGTITL	KOA	char		VARCHAR2(210 BYTE)	210	Y	Y	N		210s					Y	Y		Y	Y	Program title	Extreme Stellar Population Gradients in Elliptical Galaxies	
SEMESTER	SEMESTER	KOA	char		VARCHAR2(8 BYTE)	8	Y	Y	N		8s					Y			Y		Observing semester	2015A	
ABFREQ	ABFREQ	LRIS	integer	Hz	NUMBER(*,0)	16	Y	Y	N		16d					Y			Y		Antiblooming frequency	20	
ADCBYP	ADCBYP	native	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y			Y		ADC motor control bypass switch	F	
ADCCAL	ADCCAL	native	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y			Y		ADC calibration	T	
ADCCMT	ADCCMT	native	char		VARCHAR2(70 BYTE)	70	Y	Y	N		70s					Y			Y		ADC comment		
ADCCON	ADCCON	native	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y			Y		ADC motor control	F	
ADCDCC	ADCDCC	native	char		VARCHAR2(90 BYTE)	90	Y	Y	N		90s					Y			Y		ADC disconnected cables	hand paddle	
ADCENC	ADCENC	native	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y			Y		ADC load encoder position	131769	
ADCERR	ADCERR	native	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y			Y		ADC modify error number	0	
ADCGTE	ADCGTE	native	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y			Y		ADC galil position error	0	
ADCLCK	ADCLCK	native	char		VARCHAR2(70 BYTE)	70	Y	Y	N		70s					Y			Y		ADC motion keyword lockout	unlocked	
ADCLIM	ADCLIM	native	char		VARCHAR2(90 BYTE)	90	Y	Y	N		90s					Y			Y		ADC limit switch status	0	
ADCMOD	ADCMOD	native	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y			Y		Software control mode	3	
ADCNEED	ADCNEED	native	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y			Y		ADC needed	T	
ADCPRENA	ADCPRENA	native	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y			Y		ADC prism calc enable disable flag	1	
ADCRAW	ADCRAW	native	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y			Y		ADC raw position	-2635095	
ADCRCD	ADCRCD	native	char		VARCHAR2(70 BYTE)	70	Y	Y	N		70s					Y			Y		ADC remote control disablers		
ADCSTA	ADCSTA	native	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y			Y		ADC overall status	10	
ADCSVA	ADCSVA	native	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		ADC servo val tracking error	-0.00181328	
ADCSVR	ADCSVR	native	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y			Y		ADC servo raw tracking error	-22	
ADCSVX	ADCSVX	native	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		ADC servo vax tracking error	-0.00000103	
ADCTVA	ADCTVA	native	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		ADC separation target	891.9317017	
ADCTVX	ADCTVX	native	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		ADC zenith distance target	0.73286438	
ADCVAL	ADCVAL	native	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		ADC separation	891.946228	
ADCVAX	ADCVAX	native	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		ADC zenith distance	0.73287266	
ADCVEL	ADCVEL	native	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		ADC prism separation rate	0.11625	
ADCVEX	ADCVEX	native	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		ADC zenith distance rate	0.00013348	
ADCWAVE0	ADCWAVE0	native	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		ADC lower wavelength	3400	
ADCWAVE1	ADCWAVE1	native	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		ADC upper wavelength	9000	
AIRMASS	AIRMASS	DCS	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		Air mass (1.41)	1.34436133	
AMPID1	AMPID1	LRIS	integer		NUMBER(*,0)	8	Y	N	N		8d					Y					amp Id number, readout sequence 0	1	
AMPID2	AMPID2	LRIS	integer		NUMBER(*,0)	8	Y	N	N		8d					Y					amp Id number, readout sequence 1	3	
AMPID3	AMPID3	LRIS	integer		NUMBER(*,0)	8	Y	N	N		8d					Y					amp Id number, readout sequence 2	0	
AMPID4	AMPID4	LRIS	integer		NUMBER(*,0)	8	Y	N	N		8d					Y					amp Id number, readout sequence 3	2	
AMPLIST	AMPLIST	LRIS	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y	Y	Y	Y	Y	Readout amplifiers	4,4,0,0	
AMPMNUM	AMPMNUM	LRIS	integer		NUMBER(*,0)	8	Y	N	N		8d					Y					number of detector readout mode	0	
AMPNAME1	AMPNAME1	LRIS	char		VARCHAR2(24 BYTE)	24	Y	N	N		24s					Y					amp name, readout sequence 0	L2	
AMPNAME2	AMPNAME2	LRIS	char		VARCHAR2(24 BYTE)	24	Y	N	N		24s					Y					amp name, readout sequence 1	U2	
AMPNAME3	AMPNAME3	LRIS	char		VARCHAR2(24 BYTE)	24	Y	N	N		24s					Y					amp name, readout sequence 2	L1	
