FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	KOA	char		VARCHAR(32 BYTE)	32	N	Y	Y		32s					Y			Y	Y	Unique identifier for each file		
OFNAME	OFNAME	KOA	char		VARCHAR(32 BYTE)	32	N	Y	N		32s					Y			Y		DATAFILE?	v171005_0001	May have to add .fits to DATAFILE
FILESIZE_MB	FILESIZE_MB	KOA	double	MB	FLOAT(126)	16	N	Y	N		18.8f					Y					FITS file size in megabytes	44.8	
COADDS	COADDS	MOSFIRE	integer		NUMBER(*,0)	8	Y	Y	Y		8d					Y			Y	Y	Number of coadds		
DEC	CDEC	DCS	char		VARCHAR2(16 BYTE)	16	Y	Y	N	angle	18.8f	Y				Y			Y		declination		
ELAPTIME	ELAPTIME	KOA	double	seconds	FLOAT(126)	24	Y	Y	Y		18.8f					Y			Y	Y	Total integration time (TRUITIME * COADDS)	2	
EQUINOX	EQUINOX	DCS	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y			Y		telescope equinox		
FILTER	FILTER	MOSFIRE	char		VARCHAR(32 BYTE)	32	Y	Y	N		32s					Y			Y	Y	Filter name		
FRAMENO	FRAMENO	KOA	integer		NUMBER(*,0)	8	N	Y	Y		8d					Y			Y	Y	Copy of FRAMENUM		
GRATMODE	GRATMODE	MOSFIRE	char		VARCHAR(32 BYTE)	32	Y	Y	Y		32s				spectroscopy,imaging,transition,Moving,undefined	Y			Y	Y	allows for imaging or spectroscopy		
INSTRUME	INSTRUME	MOSFIRE	char		VARCHAR(32 BYTE)	32	N	Y	Y		32s				MOSFIRE	Y			Y		Instrument name		
KOAIMTYP	KOAIMTYP	KOA	char		VARCHAR(32 BYTE)	32	N	Y	Y		32s				object,arclamp,dark,flatlamp,flatlampoff,undefined	Y			Y	Y	KOA image type		
MGTNAME	MGTNAME	MOSFIRE	char		VARCHAR(32 BYTE)	32	Y	Y	N		32s					Y			Y	Y	Grating Turret position name		
OBJECT	OBJECT	MOSFIRE	char		VARCHAR(64 BYTE)	64	Y	Y	N		64s					Y			Y		Object name		
OBSMODE	OBSMODE	MOSFIRE	char		VARCHAR(32 BYTE)	32	Y	Y	N		32s					Y			Y	Y	obsering mode as filter-grating mode combinatio		X-imaging or X-spectroscopy
PROGID	PROGID	KOA	char		VARCHAR(32 BYTE)	32	N	Y	N		32s					Y			Y	Y	WMKO program ID		
PROGINST	PROGINST	KOA	char		VARCHAR(32 BYTE)	32	N	Y	N		32s					Y			Y	Y	Program institution		
PROGPI	PROGPI	KOA	char		VARCHAR(32 BYTE)	32	N	Y	N		32s					Y			Y	Y	Program PI		
PROGTITL	PROGTITL	KOA	char		VARCHAR(210 BYTE)	210	Y	Y	N		210s					Y			Y	Y	Program title		
PROPINT	PROPINT	KOA	integer		NUMBER(*,0)	16	N	Y	Y		16d		0	9999		Y			Y		Proprietary period		
PSCALE	PSCALE	MOSFIRE	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y	Y	Pixel scale for science camera		
RA	CRA	DCS	char		VARCHAR2(16 BYTE)	16	Y	Y	N	angle	18.8f	Y				Y			Y		right ascention		
SAMPMODE	SAMPMODE	MOSFIRE	integer		NUMBER(*,0)	8	Y	Y	Y		8d					Y			Y	Y	Sampling Mode (1:Single, 2:CDS, 3:MCDS, 4:UTR)		
SEMESTER	SEMESTER	KOA	char		VARCHAR(8 BYTE)	8	N	Y	N		8s					Y			Y	Y	WMKO observing schedule semester		
TARGNAME	TARGNAME	DCS	char		VARCHAR(32 BYTE)	32	Y	Y	N		32s					Y			Y	Y	target name		
TELESCOP	TELESCOP	DCS	char		VARCHAR(32 BYTE)	32	Y	Y	N		32s					Y			Y		telescope name		
TRUITIME	TRUITIME	MOSFIRE	double	sec	FLOAT(126)	16	Y	Y	N		18.8f					Y			Y	Y	True integration time in seconds per coadd		
UT	UT	KOA	char		VARCHAR(16 BYTE)	16	N	Y	Y	time	16s					Y			Y	Y	Copy of UTC		
UTC	UTC	DCS	char		VARCHAR(16 BYTE)	16	N	Y	Y	time	16s					Y			Y	Y	coordinated universal time		
WAVEBLUE	WAVEBLUE	KOA	double	microns	FLOAT(126)	24	Y	Y	N		18.8f		0.9	2.5		Y			Y	Y	Blue end wavelength		
WAVECNTR	WAVECNTR	KOA	double	microns	FLOAT(126)	24	Y	Y	N		18.8f		0.9	2.5		Y			Y		Central wavelength		
WAVERED	WAVERED	KOA	double	microns	FLOAT(126)	24	Y	Y	N		18.8f		0.9	2.5		Y			Y	Y	Red end wavelength		
ABORTED	ABORTED	MOSFIRE	char	boolean	VARCHAR(8 BYTE)	8	Y	Y	N		8s					Y			Y		Exposure was stopped before completion		
AIRMASS	AIRMASS	DCS	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		air mass		
ASICCFG	ASICCFG	MOSFIRE	char		VARCHAR(72 BYTE)	72	Y	Y	N		72s					Y			Y		Sidecar config file		
ASICHOST	ASICHOST	MOSFIRE	char		VARCHAR(32 BYTE)	32	Y	Y	N		32s					Y			Y		Sidecar server host name		
ASICPORT	ASICPORT	MOSFIRE	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y			Y		Sidecar server TCP port		
AXESTAT	AXESTAT	DCS	char		VARCHAR(32 BYTE)	32	Y	Y	N		32s					Y			Y		axes control status		
AZ	AZ	DCS	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		telescope azimuth		
BITPIX	BITPIX	MOSFIRE	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y			Y		number of bits per data pixel		
BSCALE	BSCALE	MOSFIRE	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y			Y		Linear factor in scaling equation		
BUNIT	BUNIT	MOSFIRE	char		VARCHAR(24 BYTE)	24	Y	Y	N		24s					Y			Y		Units of the pixel value		
BZERO	BZERO	MOSFIRE	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y			Y		Zero point in scaling equation		
CALOCAL	CALOCAL	DCS	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		collimation azimuth local		
CD1_1	CD1_1	MOSFIRE	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		Degrees of RA per pixel in x		
CD1_2	CD1_2	MOSFIRE	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		degrees of RA per pixel in y		
CD2_1	CD2_1	MOSFIRE	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		Degrees of DEC per pixel in x		
CD2_2	CD2_2	MOSFIRE	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		Degrees of DEC per pixel in y		
CELLDRAN	CELLDRAN	MOSFIRE	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y			Y		Celldrain (pix src follower) in V (from ASIC)		
CELOCAL	CELOCAL	DCS	double		FLOAT(126)	16	Y	Y	N		18.8f					Y			Y		collimation elevation local		
CLKSPEED	CLKSPEED	MOSFIRE	integer	kHz	NUMBER(*,0)	8	Y	Y	N		8d					Y			Y		Pixel clocking speed in kHz		
COADDONE	COADDONE	MOSFIRE	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y			Y		Number of coadds actually completed		
COADDS0	COADDS0	MOSFIRE	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y			Y		Requested number of coadditions		
CRPIX1	CRPIX1	MOSFIRE	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		X coordinate of center pixel		
CRPIX2	CRPIX2	MOSFIRE	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		Y coordinate of center pixel		
CRVAL1	CRVAL1	MOSFIRE	double	degrees	FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		RA of center pixel (degrees)		
CRVAL2	CRVAL2	MOSFIRE	double	degrees	FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		DEC of center pixel (degrees)		
CTMP1LOC	CTMP1LOC	MOSFIRE	char		VARCHAR(32 BYTE)	32	Y	Y	N		32s					Y			Y		Location where temp is controlled by channel A		
