FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	added	char		VARCHAR2(30 BYTE)	30	N	Y	Y		30s					Y				Y	Unique identifier for each file		
PROPINT	PROPINT	added	integer	months	NUMBER(38)	16	N	Y	Y		16d		0.0	9999.0		Y					Proprietary period in months		
FILESIZE_MB	FILESIZE_MB	KOA	double	MB	FLOAT(126)	16	Y	Y	N		18.8f					Y			N		FITS file size in megabytes	44.8	
DATE-OBS	DATE_OBS	dcs	char		DATE	24	N	Y	Y	date	32s					Y				Y	universal date of observation		
OFNAME	OFNAME		char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Original filename		
OUTDIR	OUTDIR	alad	char		VARCHAR2(68 BYTE)	68	Y	Y	N		68s					Y					Original directory		
INSTRUME	INSTRUME	added	char		VARCHAR2(24 BYTE)	24	N	Y	Y		24s				NIRC2	Y					Instrument name		
LEV0TYPE	LEV0TYPE	alad	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y					Type of file - Regular or Unprocessed (image cube)		
PROGID	PROGID	added	char		VARCHAR2(68 BYTE)	68	N	Y	N		68s					Y					WMKO ID for observing program		
PROGINST	PROGINST	added	char		VARCHAR2(32 BYTE)	32	N	N	N		32s					Y				Y	Program institution		
PROGNAME	PROGNAME		char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y					Program name	ENG	
PROGPI	PROGPI	added	char		VARCHAR2(68 BYTE)	68	N	Y	N		68s					Y				Y	Program principal investigator		
PROGTITL	PROGTITL	added	char		VARCHAR2(210 BYTE)	210	Y	Y	N		210s					Y				Y	Program title - concatination of PROGTL1, PROGTL2, PROGTL3 from FITS header		
UT	UT	added	char		VARCHAR2(25 BYTE)	25	N	Y	Y	time	25s					Y				Y	copy of UTC		
UTC	UTC	dcs	char		VARCHAR2(25 BYTE)	25	N	Y	Y	time	25s					Y					coordinated universal time		
AIRMASS	AIRMASS	dcs	double		FLOAT(126)	20	Y	Y	N		18.8f					Y					air mass	1.41	
ALADVER	ALADVER		integer		NUMBER(16)	16	Y	Y	N		16d					Y					Version of Aladdin chip	3	
ALCOADDS	ALCOADDS		integer		NUMBER(16)	16	Y	Y	N		16d					Y					Number of coadditions or groups	1	
ALFRMENO	ALFRMENO		integer		NUMBER(16)	16	Y	Y	N		16d					Y					Image file running number	71	
ALITIME	ALITIME		double		FLOAT(126)	16	Y	Y	N		18.5f					Y					[s] Integration time	12	
ALMULSAM	ALMULSAM		integer		NUMBER(16)	16	Y	Y	N		16d					Y					Numbers of samples	8	
ALOBJECT	ALOBJECT		char		VARCHAR2(78 BYTE)	78	Y	Y	N		78s					Y					Object name	Dark_03_04_12s	
ALOBSERV	ALOBSERV		char		VARCHAR2(78 BYTE)	78	Y	Y	N		78s					Y					Observer name	Engineering	
