FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s					Y	Y	Y	Y	Y	Unique identifier for each file		
AIRMASS	AIRMASS	DCS	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		air mass		
AXESTAT	AXESTAT	DCS	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y			Y		axes control status		
AZ	AZ	DCS	double	degrees	FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		telescope azimuth		
BADPIX	BADPIX	NIRES	char		VARCHAR2(68 BYTE)	68	Y	Y	N		68s					Y			Y		Bad pixel map file name	/kroot/rel/default/data/badbadpix.fits	
BITPIX	BITPIX	NIRES	integer		INTEGER	16	Y	Y	N		11d					Y			Y		number of bits per data pixel	-32	
CALOCAL	CALOCAL	DCS	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		collimation azimuth local		
CD1_1	CD1_1	NIRES	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		Degrees of RA per pixel in x	0	
CD1_2	CD1_2	NIRES	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		degrees of RA per pixel in y	0	
CD2_1	CD2_1	NIRES	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		Degrees of DEC per pixel in x	0	
CD2_2	CD2_2	NIRES	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		Degrees of DEC per pixel in y	0	
CELOCAL	CELOCAL	DCS	double		FLOAT(126)	24	Y	Y	N		18.8f					Y			Y		collimation elevation local		
CHNAME1	CHNAME1	NIRES	char		VARCHAR2(68 BYTE)	68	Y	Y	N		68s					Y			Y		Location where temp is controlled by channel A	TD1 T40 H2RG mount	
CHNAME10	CHNAME10	NIRES	char		VARCHAR2(68 BYTE)	68	Y	Y	N		68s					Y			Y		Ch D4 location name	TD10 T2 Fill neck main LN2 tank	
CHNAME2	CHNAME2	NIRES	char		VARCHAR2(68 BYTE)	68	Y	Y	N		68s					Y			Y		Location where temp is controlled by channel B	TD2 T27 H2RG mount	
CHNAME3	CHNAME3	NIRES	char		VARCHAR2(68 BYTE)	68	Y	Y	N		68s					Y			Y		Ch C1 location name	NC	
