FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	Added	char	n/a	VARCHAR2(32 BYTE)	32	N	Y	Y											Y	Unique identifier for each file		
PROPINT	PROPINT	Added	integer	months	NUMBER(*,0)	16	Y	Y	Y					9999							Proprietary period in months		
DATE-OBS	DATE_OBS	Native	date		DATE	32	N	Y	Y	date										Y	universal date of observation		
UT	UT	Native	char	hh:mm:ss.ss	VARCHAR2(24 BYTE)	24	N	Y	Y	time										Y	DCS Universal Time		
UTC	UTC	Added	char	hh:mm:ss.ss	VARCHAR2(24 BYTE)	24	N	Y	Y	time											DCS Coordinated Universal Time		
KOAIMTYP	KOAIMTYP	Added	char	n/a	VARCHAR2(24 BYTE)	24	Y	Y	Y						arclamp, dark, flatlamp, flatlampoff, object, undefined					Y	KOA data file image type		
IMTYPE	IMTYPE	Native	char		VARCHAR2(24 BYTE)	24	Y	Y	N												Observation type		
CAMERA	CAMERA	Native	char		VARCHAR2(16 BYTE)	16	Y	Y	N						SCAM,SPEC					Y	Camera name		
RA	CRA	LRIS	char		VARCHAR2(24 BYTE)	24	Y	Y	N	angle						Y			Y		Telescope right ascension		
DEC	CDEC	Native	char		VARCHAR2(32 BYTE)	32	Y	Y	Y	angle			-90	95		Y			Y		Telescope declination		
EQUINOX	Dec2000	Native	double	year	FLOAT(126)	32	Y	Y	N												telescope equinox (2000.0)		
FRAMENO	FRAMENO	Added	integer		NUMBER(*,0)	16	Y	Y	Y					9999						Y	copy of FILENUM		
FRAMENUM	FRAMENUM	Native	integer		NUMBER(*,0)	16	Y	Y	N												Frame number		
ECHLPOS	ECHLPOS	Native	double		FLOAT(126)	32	Y	Y	N												Echelle position		
DISPERS	DISPERS	Added	char		VARCHAR2(16 BYTE)	16	Y	Y	N											Y	Dispersion level (hi ech>100, else low)		
DISPSCAL	DISPSCAL	Added	double		FLOAT(126)	32	Y	Y	N												Detector pixel scale, dispersion (hi 0.144, low 0.190)		
ELAPTIME	ELAPTIME	Added	double	seconds	FLOAT(126)	32	Y	Y	Y				-15	9999						Y	TRUITIME * COADDS		
FILTER	FILTER	Native	char		VARCHAR2(24 BYTE)	24	Y	Y	N											Y	Science filter selection		
SLITNAME	SLITNAME	Native	char	n/a	VARCHAR2(32 BYTE)	32	Y	Y	N						42x0.380, 42x0.570, 42x0.760, 0.144x12, 0.288x12, 0.432x12, 0.576x12, 0.720x12, 0.288x24, 0.432x24, 0.576x24, 0.720x24, 0.013x1.13, 0.027x1.13, 0.041x1.13, 0.054x1.13, 0.068x1.13, 0.027x2.26, 0.041x2.26, 0.054x2.26, 0.068x2.26, 3.96x0.036, 3.96x0.054, 3.96x0.072, UNKNOWN					Y	Slit Name		
SLITLEN	SLITLEN	Added	double	arcseconds	FLOAT(126)	32	Y	Y	N												Slit length projected on sky (arcsec)		
SLITWIDT	SLITWIDT	Added	double	arcseconds	FLOAT(126)	32	Y	Y	N												Slit width projected on sky (arcsec)		
PSCALE	PSCALE	Native	double	arcsec/pix	FLOAT(126)	32	Y	Y	N												Pixel scale for science camera		
SPATSCAL	SPATSCAL	Added	double	arcsec/pixel	FLOAT(126)	32	Y	Y	N												CCD pixel scale, spatial (arcsec/pixel)		
SPECRES	SPECRES	Added	double		FLOAT(126)	32	Y	Y	N												Nominal spectral resolution		
WAVEBLUE	WAVEBLUE	Added	double	Microns	FLOAT(126)	32	Y	Y	Y				0.8	15						Y	Approximate blue end wavelength		
WAVECNTR	WAVECNTR	Added	double	Microns	FLOAT(126)	32	Y	Y	Y				0.8	15							Approximate central wavelength		
WAVERED	WAVERED	Added	double	Microns	FLOAT(126)	32	Y	Y	Y				0.8	15						Y	Approximate red end wavelength		
OFNAME	OFNAME	Native	char		VARCHAR2(72 BYTE)	72	Y	Y	N												Output file name		
OUTDIR	OUTDIR	Native	char	n/a	VARCHAR2(72 BYTE)	72	Y	Y	N												Original File Name		
SEMESTER	SEMESTER	Added	char		VARCHAR2(8 BYTE)	8	N	Y	Y												Semester - from PROGNAME or DATE-OBS		
PROGNAME	PROGNAME	Native	char		VARCHAR2(16 BYTE)	16	Y	Y	N												Observing program identifier		
PROGID	PROGID	Added	char	n/a	VARCHAR2(72 BYTE)	72	N	Y	N												WMKO ID for observing program		
PROGINST	PROGINST	Added	char	n/a	VARCHAR2(32 BYTE)	32	N	Y	Y						CIT, CIT-S, CIT-Y, Gemini, Keck, NASA, NOAO, None, Subaru, UC, UC-LLNL, UCB, UCD, UCI, UCLA, UCR, UCSB, UCSC, UCSD, UH, UC-lbnl, UC-llbl					Y	Program institution		
PROGPI	PROGPI	Added	char	n/a	VARCHAR2(72 BYTE)	72	N	Y	N											Y	Program principal investigator		
PROGTITL	PROGTITL	Added	char	n/a	VARCHAR2(216 BYTE)	216	Y	Y	N											Y	Program title - concatination of PROGTL1-3 from FITS header		
ABORTED	ABORTED	Native	char		VARCHAR2(8 BYTE)	8	Y	Y	N												Exposure was stopped before completion		
AIRMASS	AIRMASS	Native	double	none	FLOAT(126)	32	Y	Y	N												Air mass		
AOAOAMED	AOAOAMED	Native	integer		NUMBER(*,0)	16	Y	Y	N												AO WFC AOA camera median light level (counts)		
AODMSTAT	AODMSTAT	Native	char		VARCHAR2(16 BYTE)	16	Y	Y	N												AO deformable mirror loop state		
AODRDTEN	AODRDTEN	Native	double		FLOAT(126)	32	Y	Y	N												AO DAR DTT CTRLOFF ENABLE		
AODRENA	AODRENA	Native	double		FLOAT(126)	32	Y	Y	N												AO DAR_ENABLE/DISABLE		
AODTSTAT	AODTSTAT	Native	char		VARCHAR2(16 BYTE)	16	Y	Y	N												AO downlink tip/tilt loop state		
AOFCLBCT	AOFCLBCT	Native	char		VARCHAR2(16 BYTE)	16	Y	Y	N												AO FC LBWFS control		
AOFCLBFO	AOFCLBFO	Native	double		FLOAT(126)	32	Y	Y	N												AO FC LBWFS pregain focus calc		
AOFCLGCT	AOFCLGCT	Native	char		VARCHAR2(16 BYTE)	16	Y	Y	N												AO FC LGS control		
AOFCLGFO	AOFCLGFO	Native	double		FLOAT(126)	32	Y	Y	N												AO FC LGS pregain focus calc v		
AOFCNGCT	AOFCNGCT	Native	char		VARCHAR2(16 BYTE)	16	Y	Y	N												AO FC NGS control		
AOFCNGFO	AOFCNGFO	Native	double		FLOAT(126)	32	Y	Y	N												AO FC NGS Focus Calc Value (m)		
AOFCSALT	AOFCSALT	Native	double		FLOAT(126)	32	Y	Y	N												AO FC sodium alt preset (m)		
AOFMX	AOFMX	Native	double		FLOAT(126)	32	Y	Y	N												AO field steering mirrors X po		
AOFMY	AOFMY	Native	double		FLOAT(126)	32	Y	Y	N												AO field steering mirrors Y po		
AOFOMODE	AOFOMODE	Native	char		VARCHAR2(16 BYTE)	16	Y	Y	N												AO focus offloading mode		
AOLBFWHM	AOLBFWHM	Native	double		FLOAT(126)	32	Y	Y	N												AO LBWFS avg fwhm		
AOLPMOVE	AOLPMOVE	Native	char		VARCHAR2(16 BYTE)	16	Y	Y	N												AO LSP MOVE ENABLE		
AOOPSMOD	AOOPSMOD	Native	integer		NUMBER(*,0)	16	Y	Y	N												AO General Ops Mode FITS		
AOTSDAR	AOTSDAR	Native	char		VARCHAR2(16 BYTE)	16	Y	Y	N												AO TSS_USE_DAR?		
AOTSX	AOTSX	Native	double		FLOAT(126)	32	Y	Y	N												AO tip/tilt sensor stage X pos		
AOTSY	AOTSY	Native	double		FLOAT(126)	32	Y	Y	N												AO tip/tilt sensor stage Y pos		
AOTSZ	AOTSZ	Native	double		FLOAT(126)	32	Y	Y	N												AO tip/tilt sensor stage Z pos		
AOTTMODE	AOTTMODE	Native	char		VARCHAR2(16 BYTE)	16	Y	Y	N												AO tip/tilt offloading mode		
AOWFC0	AOWFC0	Native	double		FLOAT(126)	32	Y	Y	N												AO WFS focus stage FSM coeffic		
ARGON	ARGON	Native	char	n/a	VARCHAR2(8 BYTE)	8	Y	Y	N												Argon lamp: 1=on, 0=off		
ASIC1TMP	ASIC1TMP	Native	double	degK	FLOAT(126)	32	Y	Y	N												SPEC ASIC temperature		
