FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s	Y				Y	Y			Y	Unique identifier for each file	OS.20210115.10883.fits	
PROPINT	PROPINT	KOA	integer	months	NUMBER(*,0)	16	N	Y	Y		16d		0			Y	Y				CCD1 data proprietary period time interval in months		
OFNAME	OFNAME	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s					Y	Y			Y	Original filename at the telescope, copied from DATAFILE keyword	v171005_0001	May have to add .fits to DATAFILE
FILESIZE_MB	FILESIZE_MB	KOA	double	MB	FLOAT(126)	16	Y	Y	N		18.8f					Y			N		FITS file size in megabytes	44.8	
DATE-OBS	DATE_OBS		date		DATE	12	N	Y	Y	date	32s	Y				Y				Y	observing date (UT)		
DEC	CDEC	DCS	char		VARCHAR2(16 BYTE)	20	Y	Y	N		16s	Y				Y					declination		
ELAPTIME	ELAPTIME		double	seconds	FLOAT(126)	16	Y	Y	Y		18.5f		0	100000		Y				Y	elapsed-time		
EQUINOX	EQUINOX		double	years	FLOAT(126)	16	N	Y	Y		18.5f		0	2100		Y					telescope-equinox		
FRAMENO	FRAMENO		integer		NUMBER(*,0)	16	Y	Y	Y		16d		0	9999		Y	Y			Y	Frame number	14	
INSTRUME	INSTRUME		char		VARCHAR2(69 BYTE)	69	N	Y	Y		69s				OSIRIS	Y					instrument's name		
KOAIMTYP	KOAIMTYP	KOA	char		VARCHAR2(69 BYTE)	69	N	Y	Y		69s				dark,flatlamp,flatlampoff,undefined,calib,object	Y	Y	Y		Y	Type of observation: 'object' for science files, other values are calibration files	object, flatlamp	
PROGID	PROGID	KOA	char		VARCHAR2(68 BYTE)	68	N	Y	N		68s					Y	Y			Y	WMKO assigned program identification code	ENG	
PROGINST	PROGINST	KOA	char		VARCHAR2(13 BYTE)	13	N	Y	N		13s					Y	Y			Y	Program institution	KECK	
PROGPI	PROGPI	KOA	char		VARCHAR2(69 BYTE)	69	N	Y	N		69s					Y	Y			Y	Program principal investigator	J. Doe	
PROGTITL	PROGTITL	KOA	char		VARCHAR2(211 BYTE)	211	Y	Y	N		211s					Y	Y			Y	Program title	OSIRIS Engineering Night	
RA	CRA	DCS	char		VARCHAR2(16 BYTE)	20	Y	Y	N		16s	Y				Y					right ascension		
SEMESTER	SEMESTER	KOA	char		VARCHAR2(9 BYTE)	9	N	Y	N		9s					Y					Observing semester		
TARGNAME	TARGNAME		char		VARCHAR2(69 BYTE)	69	Y	Y	N		69s					Y	Y			Y	Target name	sky	
UT	UT		char		VARCHAR2(21 BYTE)	21	N	Y	Y	time	21s					Y				Y	coordinated universal time		
UTC	UTC		char		VARCHAR2(21 BYTE)	21	N	Y	Y	time	21s					Y					coordinated universal time		
CRVAL1	CRVAL1		double	pixels	FLOAT(126)	20	Y	Y	Y		18.5f					Y					Horizontal axis WCS value at the reference pixel		
CRVAL2	CRVAL2		double	pixels	FLOAT(126)	20	Y	Y	Y		18.5f					Y					Vertical axis WCS value at the reference pixel		
CRPIX1	CRPIX1		double	pixels	FLOAT(126)	20	Y	Y	Y		18.5f					Y					Reference pixel on the horizontal axis		
CRPIX2	CRPIX2		double	pixels	FLOAT(126)	20	Y	Y	Y		18.5f					Y					Reference pixel on the vertical axis		
CTYPE1	CTYPE1		char		VARCHAR2(20 BYTE)	20	Y	Y	Y		20s					Y					WCS Type of the horizontal coordinate		
CTYPE2	CTYPE2		char		VARCHAR2(20 BYTE)	20	Y	Y	Y		20s					Y					WCS Type of the vertical coordinate		
WAT0_001	WAT0_001		char		VARCHAR2(30 BYTE)	30	Y	Y	Y		30s					Y					coordinate system		
WAT1_001	WAT1_001		char		VARCHAR2(30 BYTE)	30	Y	Y	Y		30s					Y					coordinate system		
WAT2_001	WAT2_001		char		VARCHAR2(30 BYTE)	30	Y	Y	Y		30s					Y					coordinate system		
WCSDIM	WCSDIM		integer		NUMBER(*,0)	8	Y	Y	N		8d										number WCS dimensions		
LTM1_1	LTM1_1		double		FLOAT(126)	10	Y	Y	Y		18.5f					Y					ccd to image transformation		
LTM2_2	LTM2_2		double		FLOAT(126)	10	Y	Y	Y		18.5f					Y					ccd to image transformation		
CDELT1	CDELT1		double		FLOAT(126)	20	Y	Y	Y		18.5f					Y					Size projected into detector pixel in axis1		
CDELT2	CDELT2		double		FLOAT(126)	20	Y	Y	Y		18.5f					Y					Size projected into detector pixel in axis2		
CROTA2	CROTA2		double		FLOAT(126)	20	Y	Y	Y		18.5f					Y					Rotation of horizontal and vertical axes		
RADECSYS	RADECSYS		char		VARCHAR2(10 BYTE)	10	Y	Y	Y		10s					Y					the system of the coordinates		
AIRMASS	AIRMASS		double		FLOAT(126)	26	Y	Y	N		18.5f					Y					air mass (1.03)		
AOAOAMED	AOAOAMED		double		FLOAT(126)	18	Y	Y	N		18.5f					Y					AO WFC AOA camera median light level (counts)		
AODELAY	AODELAY		integer		NUMBER(*,0)	11	Y	Y	N		11d					Y					Delay after AO locks		
AODMSTAT	AODMSTAT		char		VARCHAR2(26 BYTE)	26	Y	Y	N		26s					Y					AO deformable mirror loop state		
AODRDTEN	AODRDTEN		double		FLOAT(126)	13	Y	Y	N		18.5f					Y					AO DAR DTT CTRLOFF ENABLE		
AODRENA	AODRENA		double		FLOAT(126)	13	Y	Y	N		18.5f					Y					AO DAR_ENABLE/DISABLE		
AODTSTAT	AODTSTAT		char		VARCHAR2(15 BYTE)	15	Y	Y	N		15s					Y					AO downlink tip/tilt loop state		
AOFCLBCT	AOFCLBCT		char		VARCHAR2(25 BYTE)	25	Y	Y	N		25s					Y					AO FC LBWFS control		
AOFCLBFO	AOFCLBFO		double		FLOAT(126)	18	Y	Y	N		18.5f					Y					AO FC LBWFS pregain focus calc val (m)		
AOFCLGCT	AOFCLGCT		char		VARCHAR2(25 BYTE)	25	Y	Y	N		25s					Y					AO FC LGS control		
AOFCLGFO	AOFCLGFO		double		FLOAT(126)	18	Y	Y	N		18.5f					Y					AO FC LGS pregain focus calc val (m)		
AOFCNGCT	AOFCNGCT		char		VARCHAR2(25 BYTE)	25	Y	Y	N		25s					Y					AO FC NGS control		
AOFCNGFO	AOFCNGFO		double		FLOAT(126)	19	Y	Y	N		18.5f					Y					AO FC NGS Focus Calc Value (m)		
AOFCSALT	AOFCSALT		integer		NUMBER(*,0)	15	Y	Y	N		15d					Y					AO FC sodium alt preset (m)		
AOFMX	AOFMX		double		FLOAT(126)	15	Y	Y	N		18.5f					Y					AO field steering mirrors X position (mm)		
AOFMY	AOFMY		double		FLOAT(126)	15	Y	Y	N		18.5f					Y					AO field steering mirrors Y position (mm)		
AOFOMODE	AOFOMODE		char		VARCHAR2(25 BYTE)	25	Y	Y	N		25s					Y					AO focus offloading mode		
AOLBFWHM	AOLBFWHM		double		FLOAT(126)	18	Y	Y	N		18.5f					Y					AO LBWFS avg fwhm		
AOLPMOVE	AOLPMOVE		char		VARCHAR2(25 BYTE)	25	Y	Y	N		25s					Y					AO LSP MOVE ENABLE		
AOOPSMOD	AOOPSMOD		integer		NUMBER(*,0)	11	Y	Y	N		11d					Y					AO General Ops Mode FITS		
AOTSDAR	AOTSDAR		char		VARCHAR2(25 BYTE)	25	Y	Y	N		25s					Y					AO TSS_USE_DAR?		
AOTSX	AOTSX		double		FLOAT(126)	16	Y	Y	N		18.5f					Y					AO tip/tilt sensor stage X position (mm)		
