FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	KOKA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s	Y				Y	Y	N	Y	Y	Unique identifier for each file	"KB.20170208_00008.fits, KR.20170208_00009.fits"	
PROPINT	PROPINT	KOA	integer		NUMBER(*,0)	16	N	Y	Y		16d		0			Y	Y	N	Y		Proprietary period		
FILESIZE_MB	FILESIZE_MB	KOA	double	MB	FLOAT(126)	16	Y	Y	N		18.8f					Y		N	Y		FITS file size in megabytes	44.8	
DATE-OBS	DATE_OBS	SCALES	char		DATE	16	N	Y	N	date	16s					Y		N	Y			6/6/26	
UT	UT	SCALES	char		VARCHAR2(16 BYTE)	16	N	Y	N	time	16s					Y		N	Y			41:52.2	
TARGNAME	TARGNAME	DCS	char		VARCHAR2(68 BYTE)	68	Y	Y	N		68s					Y	Y			Y	DCS Target name	AEGIS_26850	
TELESCOP	TELESCOP	DCS	char		VARCHAR2(8 BYTE)	8	Y	Y	N		8s					Y		N	Y		Keck telescope designation	Keck II	
KOAIMTYP	KOAIMTYP	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s					Y	Y	N	Y	Y	SCALES image type	object	
SEMESTER	SEMESTER	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Observing semester	2015A	
PROGNAME	PROGNAME	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y		Program ID	ENG	
PROGID	PROGID	KOA	char		VARCHAR2(69 BYTE)	32	N	Y	N		32s					Y	Y	N	Y		WMKO program ID	H275	
PROGINST	PROGINST	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s					Y	Y	N	Y	Y	Program Institution	UH	
PROGPI	PROGPI	KOA	char		VARCHAR2(69 BYTE)	32	N	Y	N		32s					Y	Y	N	Y	Y	Program PI	McConnell	
PROGTITL	PROGTITL	KOA	char		VARCHAR2(216 BYTE)	216	Y	Y	N		216s					Y		N	Y	Y	Program title - concatination of PROGTL1-3 from FITS header		
ACQMODE	ACQMODE	SCALES	char		VARCHAR2(8 BYTE)	8	Y	Y	N		8s					Y		N	Y			UTR	
ASIC-FW	ASIC_FW	SCALES	char		VARCHAR2(80 BYTE)	80	Y	Y	N		80s					Y		N	Y			Standard_IFS_Fast_Gain9_5MHz.mcd	
BAFFSB	BAFFSB	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] SB Elex Baffle Post	400.8	
BITPIX	BITPIX	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		array data type	16	
BNCHCAM	BNCHCAM	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] SPEC CAM Bench	-9.90E+37	
BNCHDI	BNCHDI	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Top of IMG enclosure	79.29	
BNCHSLN1	BNCHSLN1	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] SLNS bench by plaque	77.98	
BNCHSLN2	BNCHSLN2	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Bench in middle of SLNS bench	78.33	
BNCHST	BNCHST	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Bench at Stern --> misreading (stuck at ~29	85.75	
BSCALE	BSCALE	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			1	
BZERO	BZERO	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			32768	
CAMERA	CAMERA	SCALES	char		VARCHAR2(8 BYTE)	8	Y	Y	N		8s					Y		N	Y			IFS	
CCGAIN	CCGAIN	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			36985	
CD1_1	CD1_1	SCALES	double		FLOAT(126)	20	Y	Y	N		18.8f					Y		N	Y			None	
CD1_2	CD1_2	SCALES	double		FLOAT(126)	20	Y	Y	N		18.8f					Y		N	Y			None	
CD2_1	CD2_1	SCALES	double		FLOAT(126)	20	Y	Y	N		18.8f					Y		N	Y			None	
CD2_2	CD2_2	SCALES	double		FLOAT(126)	20	Y	Y	N		18.8f					Y		N	Y			None	
CHECKSUM	CHECKSUM	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		HDU checksum updated 2026-06-05T21:42:25	l6Ion5Gol5Gol5Go	
CNAME1	CNAME1	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y			None	
CNAME2	CNAME2	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y			None	
CRPIX1	CRPIX1	SCALES	double		FLOAT(126)	20	Y	Y	N		18.8f					Y		N	Y			None	
CRPIX2	CRPIX2	SCALES	double		FLOAT(126)	20	Y	Y	N		18.8f					Y		N	Y			None	
CRVAL1	CRVAL1	SCALES	double		FLOAT(126)	20	Y	Y	N		18.8f					Y		N	Y			None	
CRVAL2	CRVAL2	SCALES	double		FLOAT(126)	20	Y	Y	N		18.8f					Y		N	Y			None	
CSLIDNAM	CSLIDNAM	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y		Coronagraph slide named position	Pupil	
CSLIDORD	CSLIDORD	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		Coronagraph slide ordinal position	10	
CSLIDRAW	CSLIDRAW	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		"Coronagraph slide position, counts"	7488	
CSRBAS	CSRBAS	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] CSRM Body	81.22	
CSRPCB	CSRPCB	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] CSRM Encoder PCB	166.9	
CTYPE1	CTYPE1	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y			None	
CTYPE2	CTYPE2	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y			None	
CUBAR	CUBAR	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] SB side of copper cooling bar	32.65	
CUNIT1	CUNIT1	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y			None	
CUNIT2	CUNIT2	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y			None	
DATASUM	DATASUM	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		data unit checksum updated 2026-06-05T21:42:25	3118961876	
DATE-BEG	DATE_BEG	SCALES	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y		N	Y			2026-06-06T04:41:52.195647	
DATE-END	DATE_END	SCALES	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y		N	Y			2026-06-06T04:42:23.051717	
DATLEVEL	DATLEVEL	KOA	integer		NUMBER(*,0)	16	N	Y	N		16d					Y		N	Y		Data reduction level		
DEC	CDEC	DCS	char		VARCHAR2(16 BYTE)	16	Y	Y	N	angle	16s	Y				Y					DCS Dec		Confirm that this is in sexagesimal and not decimal? [ACL]  Yes
DISBAS	DISBAS	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] DISM top	78.74	
DISM	DISM	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] DISM motor	78.87	
DISPSCAL	DISPSCAL	KOA	double		FLOAT(126)	32	Y	Y	N		18.8f					Y		N	Y		"Detector pixel scale, dispersion (hi 0.144, low 0.190)"		
DQA_DATE	DQA_DATE	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s					Y		N	Y		Date of DQA run		$          
DQA_VERS	DQA_VERS	KOA	char		VARCHAR2(8 BYTE)	8	N	Y	N		8s					Y		N	Y		DQA version number		
DSPRSNAM	DSPRSNAM	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		Dispersion carousel named position	M-grating	
DSPRSORD	DSPRSORD	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		Dispersion carousel ordinal position	14	
DSPRSRAW	DSPRSRAW	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		"Dispersion carousel position, counts"	28023	
EQUINOX	EQUINOX	DCS	double		FLOAT(126)	16	Y	Y	N		18.5f		1855.0	2100.0		Y	Y				Telescope equinox	2000	
EXPTIME	EXPTIME	SCALES	double	seconds	FLOAT(126)	16	Y	Y	N		16.6f					Y		N	Y			30	
